기간,SMP,,,BLMP
2007/04,0,0,82.616902354283,0
2007/03,0,0,88.8865046658076,0
2007/02,0,0,82.6894326679821,0
2007/01,0,0,86.4478283816205,0
2006/12,0,0,89.63,19.74
2006/11,0,0,87.61,19.09
2006/10,0,0,69.92,19.49
2006/09,0,0,74.43,19.1
2006/08,0,0,73.517379399514,19.2143453873444
2006/07,0,0,65.3009107055877,19.3093829899185
2006/06,0,0,71.7601359828139,19.6774968412655
2006/05,0,0,81.747798168626,19.2731002189098
2006/04,0,0,83.4437585727776,19.478071418004
2006/03,0,0,85.4929057509421,19.2285678717193
2006/02,0,0,82.6366090666223,19.1068730309632
2006/01,0,0,81.1554438381966,19.1851817451509
2005/12,0,0,81.093094984345,19.2825518447068
2005/11,0,0,76.2849347162206,19.1088984346232
2005/10,0,0,64.2936349898882,19.379097253635
2005/09,0,0,63.4873829253822,19.278715866945
2005/08,0,0,54.045566412206,19.1486833590844
2005/07,0,0,55.3561086871434,19.1299864479286
2005/06,0,0,52.8477591248188,19.5899544317255
2005/05,0,0,47.008806353874,19.4819747916472
2005/04,0,0,52.4021706242771,19.3613601581421
2005/03,0,0,61.7198574470179,19.2690440221126
2005/02,0,0,62.8545489399052,19.1649110396963
2005/01,0,0,67.2175059183735,19.2384416671151
2004/12,0,0,63.6049578108449,19.1365539033713
2004/11,0,0,60.9158974671901,19.2269682408965
2004/10,0,0,58.7437683382685,19.2057995652439
2004/09,0,0,49.7673369516456,19.3687656410501
2004/08,0,0,46.675971519038,19.4192003052975
2004/07,0,0,49.7190778651185,19.3427346524205
2004/06,0,0,52.4771521071888,19.2109280371814
2004/05,0,0,54.1360824915949,19.3726733265246
2004/04,0,0,57.2610582856979,19.1063969743286
2004/03,0,0,60.3490015786814,18.9834683939649
2004/02,0,0,60.3434751651831,18.9650102152271
2004/01,0,0,54.8081100464857,18.7612155060358
2003/12,0,0,55.8081991464019,19.0345603895697
2003/11,0,0,50.8563401565047,18.5953591473805
2003/10,0,0,47.4170561944624,18.0739393375619
2003/09,0,0,42.7191776481367,17.1963252744883
2003/08,0,0,37.8984810777112,16.7667626928105
2003/07,0,0,40.0110110765285,16.9834045608866
2003/06,0,0,50.3326866870172,18.2828892420396
2003/05,0,0,57.0428836116966,18.8707509858548
2003/04,0,0,55.8944262061617,18.942210342536
2003/03,0,0,56.6123063892043,18.9388010218011
2003/02,0,0,54.9951914766338,18.7561430742985
2003/01,0,0,55.4580855564851,18.6752515374974
2002/12,0,0,54.1105249370024,18.796010634904
2002/11,0,0,53.9463200644648,18.9502731624851
2002/10,0,0,46.313210423025,18.623524607907
2002/09,0,0,40.7557052407713,17.9501925586046
2002/08,0,0,36.0815730735463,17.5865267562947
2002/07,0,0,40.0638131186597,18.2068893059257
2002/06,0,0,39.2020175607079,18.1761850208337
2002/05,0,0,48.2378051870685,18.8050285059593
2002/04,0,0,46.7547208910869,18.836520289254
2002/03,0,0,50.5000300315061,18.8780994453658
2002/02,0,0,52.127754282797,18.6772569698164
2002/01,0,0,58.1168631978579,18.906447955671
2001/12,0,0,56.2843923715158,18.8257295779698
2001/11,0,0,47.1390509780127,18.2902757969406
2001/10,0,0,46.9313044150608,18.3181373856663
2001/09,0,0,44.5406691994361,18.0647572370642
2001/08,0,0,42.2931996917762,17.6944544609058
2001/07,0,0,47.4283392456902,18.0587016321021
2001/06,0,0,51.2473849194355,18.256078842468
2001/05,0,0,52.5523643840022,18.5977886796289
2001/04,0,0,50.7053983530246,18.5148281586116
